nama_sekolah ,kecamatan,kota_adminstrasi,jumlah_siswa,jumlah_guru,latitude,longitude
SDN Cakung Timur 04 Pg.,Cakung,Jakarta Timur,379,16,-6.172209,106.949837
SDN Cakung Timur 03 Pg.,Cakung,Jakarta Timur,396,18,-6.1725,106.949402
SDN Cakung Barat 08 Pg.,Cakung,Jakarta Timur,604,27,-6.172672,106.934906
SDN Cakung Barat 04 Pg.,Cakung,Jakarta Timur,630,27,-6.174624,106.939072
SDN Cakung Barat 05 Pg.,Cakung,Jakarta Timur,462,22,-6.178544,106.933456
SDN Cakung Timur 06 Pg.,Cakung,Jakarta Timur,825,28,-6.1797,106.947998
SDN Cakung Barat 02,Cakung,Jakarta Timur,687,30,-6.1805,106.938797
SDN Ujung Menteng 02,Cakung,Jakarta Timur,458,23,-6.183091,106.960663
SDN Ujung Menteng 07 Pg.,Cakung,Jakarta Timur,374,14,-6.184075,106.963066
SDN Ujung Menteng 04 Pg.,Cakung,Jakarta Timur,381,19,-6.184091,106.963028
SDN Ujung Menteng 01 Pg.,Cakung,Jakarta Timur,365,15,-6.184853,106.961769
SDN Pulogebang 11 Pg.,Cakung,Jakarta Timur,819,31,-6.1849,106.944901
SDN Rawaterate 01 Pg.,Cakung,Jakarta Timur,381,14,-6.188258,106.92321
SDN Rawaterate 02 Pt.,Cakung,Jakarta Timur,337,15,-6.188546,106.923264
SDN Pulogebang 24 Pg.,Cakung,Jakarta Timur,448,18,-6.194948,106.965431
SDN Jatinegara 06 Pg.,Cakung,Jakarta Timur,1226,42,-6.1958,106.926399
SDN Penggilingan 01 Pg.,Cakung,Jakarta Timur,564,26,-6.1963,106.935501
SDN Pulogebang 13 Pg.,Cakung,Jakarta Timur,792,31,-6.1968,106.962601
SDN Jatinegara 01 Pg.,Cakung,Jakarta Timur,742,29,-6.19681,106.920898
SDN Penggilingan 09 Pg.,Cakung,Jakarta Timur,341,13,-6.202888,106.931747
SDN Pulogebang 02 Pg.,Cakung,Jakarta Timur,795,32,-6.203424,106.953117
SDN Pulogebang 01 Pg.,Cakung,Jakarta Timur,768,28,-6.2037,106.955498
SDN Pulogebang 06 Pg.,Cakung,Jakarta Timur,568,21,-6.204672,106.942169
